label,message
spam,Congratulations! Your package could not be delivered. Log in at http://bit.ly/scam123 to secure your account. Do this immediately.
spam,"Dear Customer, Clearance sale! Massive discounts on rolex watches. Click here to claim your reward: www.free-prize.info Hurry, offer ends {time}!"
ham,"Hello, Hope you are having a good week. Please find your receipt for the conference ticket attached. Sincerely,"
ham,"Hello, Thanks for reaching out! Could you clarify your notes on the budget spreadsheet? Thanks,"
ham,"Thanks for reaching out! I'll be out of office until next week. Talk soon,"
spam,URGENT: Get up to 50% off on all designer handbags! Log in at www.free-prize.info to secure your account. Act now!
spam,Congratulations! We noticed a login attempt on your Crypto wallet. Pay the $1.99 shipping fee at http://update-your-billing.net to get your package. Within 24 hours or your account is deleted.
ham,"Hey! Thanks for reaching out! Let's schedule a meeting for Friday to discuss the Q4 planning. Thanks,"
ham,"Just checking in regarding our last conversation. The Q4 planning is progressing well. We hit the milestone. Regards,"
ham,"Hey! Just checking in regarding our last conversation. Thanks for the update on the marketing campaign. Looks good. Regards,"
spam,WARNING: Clearance sale! Massive discounts on enhancement pills. Log in at http://secure-login-verify.com to secure your account. Within 24 hours or your account is deleted.
spam,WARNING: Make $500 a day working from home starting immediately! Log in at http://secure-login-verify.com to secure your account. Act now!
spam,"Hey friend, Invest in the new crypto coin and turn $100 into $5,000. Shop now while stocks last! Visit http://claim-now.net Limited time only."
spam,"Congratulations! Invest in the new crypto coin and turn $100 into $500 a day. Log in at www.free-prize.info to secure your account. Hurry, offer ends {time}!"
ham,"Hello, Just checking in regarding our last conversation. Let's schedule a meeting for Friday to discuss the client pitch. Cheers,"
ham,"Dear Team, Hope you are having a good week. Are we still on for lunch at tomorrow? Thanks,"
ham,"Hi everyone, I hope this email finds you well. Please find your receipt for your recent software purchase attached. Best,"
ham,"Good morning, Just a reminder that the deployment is happening at EOD. Cheers,"
ham,"Hello, Following up on the previous thread. I have updated the design mockup with the latest figures. Talk soon,"
spam,ATTENTION: Your package could not be delivered. Pay the $1.99 shipping fee at http://claim-now.net to get your package. Within 24 hours or your account is deleted.
spam,"URGENT: Invest in the new crypto coin and turn $100 into $10,000/week. Pay the $1.99 shipping fee at http://bit.ly/scam123 to get your package. Hurry, offer ends {time}!"
spam,"Congratulations! You are the lucky winner of our daily giveaway! Pay the $1.99 shipping fee at http://update-your-billing.net to get your package. Hurry, offer ends {time}!"
ham,"Hello, Here are the meeting minutes from our sync on server upgrade. Cheers,"
ham,"Hello, Just checking in regarding our last conversation. I'm reviewing the Q3 report now and will send feedback soon. Cheers,"
ham,"Hi everyone, I hope this email finds you well. I'll be out of office until 2 PM. Talk soon,"
ham,"Dear Team, Following up on the previous thread. Are we still on for lunch at noon? Sincerely,"
ham,"Hi everyone, Following up on the previous thread. Thanks for the update on the client pitch. Looks good. Sincerely,"
spam,URGENT: Clearance sale! Massive discounts on software licenses. Shop now while stocks last! Visit http://claim-now.net Act now!
ham,"Dear Team, I hope this email finds you well. Here are the meeting minutes from our sync on Q4 planning. Best,"
spam,Your package could not be delivered. Download the secure attachment to view your invoice. Do this immediately.
ham,"Good morning, I hope this email finds you well. Thanks for the update on the marketing campaign. Looks good. Cheers,"
ham,"Hello, Following up on the previous thread. Here are the meeting minutes from our sync on Q4 planning. Cheers,"
ham,"Good morning, Thanks for reaching out! Could you clarify your notes on the code review? Regards,"
spam,"Dear Customer, You have been selected to receive a Tesla Model S. Download the secure attachment to view your invoice. Hurry, offer ends {time}!"
ham,"Dear Team, Hope you are having a good week. I'm reviewing the presentation now and will send feedback soon. Best,"
spam,ATTENTION: You are the lucky winner of our daily giveaway! Reply to this email to find out how. Act now!
spam,"Dear Customer, You are the lucky winner of our daily giveaway! Shop now while stocks last! Visit www.free-prize.info Hurry, offer ends {time}!"
ham,"Just checking in regarding our last conversation. I'll be out of office until tomorrow. Thanks,"
spam,URGENT: Your package could not be delivered. Shop now while stocks last! Visit www.free-prize.info Do this immediately.
spam,"Dear Customer, You are the lucky winner of our daily giveaway! Download the secure attachment to view your invoice. Within 24 hours or your account is deleted."
ham,"Thanks for reaching out! I'm reviewing the design mockup now and will send feedback soon. Regards,"
spam,"Dear Customer, Clearance sale! Massive discounts on electronics. Verify your identity immediately at http://secure-login-verify.com to restore access. Hurry, offer ends {time}!"
ham,"Hey! Following up on the previous thread. Are we still on for lunch at Monday morning? Sincerely,"
spam,Congratulations! You have been selected to receive a Tesla Model S. Shop now while stocks last! Visit http://secure-login-verify.com Within 24 hours or your account is deleted.
ham,"Hi there, Thanks for reaching out! The server upgrade is progressing well. We hit the milestone. Cheers,"
ham,"Good morning, Here are the meeting minutes from our sync on Apollo migration. Talk soon,"
spam,"Hey friend, Your Apple ID has been suspended due to suspicious activity. Pay the $1.99 shipping fee at www.free-prize.info to get your package. Act now!"
spam,"Make $5,000 working from home starting immediately! Verify your identity immediately at www.free-prize.info to restore access. Do this immediately."
ham,"Hi there, I'm reviewing the draft contract now and will send feedback soon. Thanks,"
ham,"Dear Team, Just checking in regarding our last conversation. Thanks for the update on the client pitch. Looks good. Talk soon,"
ham,"Hello, Thanks for reaching out! Could you send me the link to the marketing campaign repository? Thanks,"
spam,"Dear Customer, Invest in the new crypto coin and turn $100 into $5,000. Verify your identity immediately at http://claim-now.net to restore access. Hurry, offer ends {time}!"
ham,"Hello, Thanks for reaching out! Could you clarify your notes on the draft contract? Regards,"
spam,"WARNING: Invest in the new crypto coin and turn $100 into $5,000. Verify your identity immediately at http://bit.ly/scam123 to restore access. Within 24 hours or your account is deleted."
spam,"Hey friend, You have been selected to receive a luxury vacation to Hawaii. Log in at http://bit.ly/scam123 to secure your account. Hurry, offer ends {time}!"
ham,"Hope you are having a good week. Can you review the attached design mockup by Monday morning? Regards,"
spam,"Dear Customer, Get up to 50% off on all software licenses! Log in at http://secure-login-verify.com to secure your account. Act now!"
spam,Congratulations! We noticed a login attempt on your Amazon account. Shop now while stocks last! Visit www.free-prize.info Do this immediately.
ham,"Just checking in regarding our last conversation. Just a reminder that the design sprint is happening at tomorrow. Talk soon,"
ham,"Good morning, I hope this email finds you well. Just a reminder that the all-hands meeting is happening at EOD. Talk soon,"
spam,ATTENTION: Invest in the new crypto coin and turn $100 into thousands of dollars. Pay the $1.99 shipping fee at http://bit.ly/scam123 to get your package. Within 24 hours or your account is deleted.
spam,"Congratulations! Invest in the new crypto coin and turn $100 into $5,000. Unsubscribe by clicking http://claim-now.net Do this immediately."
ham,"Hi there, Just checking in regarding our last conversation. Can we push the coffee chat to 10 AM instead? Talk soon,"
spam,"Dear Customer, Invest in the new crypto coin and turn $100 into thousands of dollars. Reply to this email to find out how. Limited time only."
spam,WARNING: Your package could not be delivered. Reply to this email to find out how. Do this immediately.
spam,URGENT: Get up to 70% off on all electronics! Shop now while stocks last! Visit www.free-prize.info Within 24 hours or your account is deleted.
spam,"ATTENTION: You have been selected to receive a $5000 Amazon Gift Card. Pay the $1.99 shipping fee at http://secure-login-verify.com to get your package. Hurry, offer ends {time}!"
spam,WARNING: Your package could not be delivered. Pay the $1.99 shipping fee at http://secure-login-verify.com to get your package. Do this immediately.
ham,"Hey! Thanks for reaching out! Just a reminder that the client call is happening at tomorrow. Talk soon,"
ham,"Hope you are having a good week. Just a reminder that the coffee chat is happening at Monday morning. Thanks,"
spam,Congratulations! We noticed a login attempt on your Bank of America account. Download the secure attachment to view your invoice. Limited time only.
spam,"ATTENTION: You have been selected to receive a luxury vacation to Hawaii. Verify your identity immediately at http://claim-now.net to restore access. Hurry, offer ends {time}!"
ham,"Hi there, Let's schedule a meeting for next week to discuss the Apollo migration. Talk soon,"
spam,"Dear Customer, We noticed a login attempt on your Netflix subscription. Reply to this email to find out how. Limited time only."
spam,Clearance sale! Massive discounts on weight loss gummies. Pay the $1.99 shipping fee at http://update-your-billing.net to get your package. Limited time only.
spam,URGENT: You are the lucky winner of our daily giveaway! Pay the $1.99 shipping fee at http://bit.ly/scam123 to get your package. Do this immediately.
spam,URGENT: Clearance sale! Massive discounts on electronics. Verify your identity immediately at http://secure-login-verify.com to restore access. Limited time only.
ham,"Hey! I hope this email finds you well. Can you review the attached invoice by Monday morning? Sincerely,"
spam,ATTENTION: Get up to 85% off on all weight loss gummies! Verify your identity immediately at http://bit.ly/scam123 to restore access. Limited time only.
ham,"Hello, Can we push the team building to Monday morning instead? Best,"
ham,"Just checking in regarding our last conversation. Let's schedule a meeting for noon to discuss the server upgrade. Sincerely,"
ham,"Dear Team, Following up on the previous thread. Do you have a few minutes to chat at Friday? Sincerely,"
ham,"I hope this email finds you well. Thanks for the update on the website redesign. Looks good. Best,"
spam,Congratulations! Your Amazon account has been suspended due to suspicious activity. Shop now while stocks last! Visit www.free-prize.info Do this immediately.
ham,"I hope this email finds you well. Let's schedule a meeting for 2 PM to discuss the server upgrade. Best,"
ham,"Good morning, Thanks for reaching out! I'll be out of office until Friday. Cheers,"
ham,"I'm reviewing the presentation now and will send feedback soon. Cheers,"
spam,URGENT: You are the lucky winner of our daily giveaway! Unsubscribe by clicking http://bit.ly/scam123 Within 24 hours or your account is deleted.
spam,"Hey friend, Get up to 70% off on all enhancement pills! Download the secure attachment to view your invoice. Limited time only."
ham,"Good morning, Do you have a few minutes to chat at EOD? Cheers,"
spam,"Hey friend, Your package could not be delivered. Unsubscribe by clicking http://secure-login-verify.com Act now!"
ham,"Hey! Hope you are having a good week. Do you have a few minutes to chat at next week? Regards,"
ham,"Hope you are having a good week. Thanks for the update on the server upgrade. Looks good. Thanks,"
ham,"Hello, Just checking in regarding our last conversation. The server upgrade is progressing well. We hit the milestone. Sincerely,"
spam,"Congratulations! Clearance sale! Massive discounts on enhancement pills. Shop now while stocks last! Visit http://bit.ly/scam123 Hurry, offer ends {time}!"
ham,"Thanks for reaching out! Can you review the attached design mockup by tomorrow? Sincerely,"
ham,"Hi everyone, I hope this email finds you well. I'm reviewing the Q3 report now and will send feedback soon. Talk soon,"
spam,WARNING: Clearance sale! Massive discounts on rolex watches. Pay the $1.99 shipping fee at http://claim-now.net to get your package. Within 24 hours or your account is deleted.
spam,"Congratulations! You have been selected to receive a free iPad Pro. Download the secure attachment to view your invoice. Hurry, offer ends {time}!"
ham,"Thanks for reaching out! Just a reminder that the design sprint is happening at 2 PM. Cheers,"
spam,Congratulations! Clearance sale! Massive discounts on software licenses. Download the secure attachment to view your invoice. Do this immediately.
spam,WARNING: You have been selected to receive a Tesla Model S. Pay the $1.99 shipping fee at http://update-your-billing.net to get your package. Act now!
spam,"Hey friend, Invest in the new crypto coin and turn $100 into $10,000/week. Verify your identity immediately at http://bit.ly/scam123 to restore access. Limited time only."
ham,"Hey! Following up on the previous thread. The Apollo migration is progressing well. We hit the milestone. Thanks,"
ham,"Dear Team, Let's schedule a meeting for Monday morning to discuss the website redesign. Talk soon,"
spam,"Dear Customer, You have been selected to receive a Tesla Model S. Download the secure attachment to view your invoice. Within 24 hours or your account is deleted."
ham,"Hello, Please find your receipt for the hotel reservation attached. Thanks,"
spam,"Clearance sale! Massive discounts on rolex watches. Shop now while stocks last! Visit http://bit.ly/scam123 Hurry, offer ends {time}!"
ham,"Hope you are having a good week. Thanks for the update on the Q4 planning. Looks good. Regards,"
ham,"Hi there, Hope you are having a good week. Do you have a few minutes to chat at tomorrow? Sincerely,"
ham,"Hi everyone, I hope this email finds you well. Could you send me the link to the server upgrade repository? Sincerely,"
ham,"Thanks for reaching out! I'll be out of office until 10 AM. Sincerely,"
spam,"Dear Customer, We noticed a login attempt on your Amazon account. Reply to this email to find out how. Act now!"
spam,"Dear Customer, Clearance sale! Massive discounts on software licenses. Log in at http://claim-now.net to secure your account. Within 24 hours or your account is deleted."
spam,"ATTENTION: Invest in the new crypto coin and turn $100 into $5,000. Click here to claim your reward: www.free-prize.info Within 24 hours or your account is deleted."
ham,"Hello, Hope you are having a good week. Thanks for the update on the Q4 planning. Looks good. Regards,"
ham,"Hi there, I hope this email finds you well. Please find your receipt for monthly subscription attached. Thanks,"
ham,"Hi everyone, Thanks for reaching out! Could you send me the link to the website redesign repository? Talk soon,"
spam,Get up to 90% off on all electronics! Verify your identity immediately at http://update-your-billing.net to restore access. Within 24 hours or your account is deleted.
spam,"Hey friend, You are the lucky winner of our daily giveaway! Shop now while stocks last! Visit www.free-prize.info Do this immediately."
ham,"Hi there, Just checking in regarding our last conversation. Are we still on for lunch at noon? Cheers,"
spam,"Hey friend, Make thousands of dollars working from home starting immediately! Click here to claim your reward: http://claim-now.net Within 24 hours or your account is deleted."
ham,"Hey! I hope this email finds you well. Here are the meeting minutes from our sync on client pitch. Sincerely,"
spam,"Hey friend, Clearance sale! Massive discounts on enhancement pills. Pay the $1.99 shipping fee at http://secure-login-verify.com to get your package. Within 24 hours or your account is deleted."
spam,WARNING: Get up to 50% off on all enhancement pills! Click here to claim your reward: http://update-your-billing.net Act now!
ham,"Good morning, Thanks for reaching out! I'll be out of office until Friday. Talk soon,"
ham,"Hope you are having a good week. Could you clarify your notes on the invoice? Best,"
ham,"Hey! I hope this email finds you well. I'm reviewing the budget spreadsheet now and will send feedback soon. Talk soon,"
spam,"Dear Customer, Get up to 70% off on all electronics! Log in at http://bit.ly/scam123 to secure your account. Act now!"
ham,"Hey! Just checking in regarding our last conversation. Could you send me the link to the Q4 planning repository? Cheers,"
ham,"Dear Team, Following up on the previous thread. I have updated the Q3 report with the latest figures. Sincerely,"
spam,You have been selected to receive a Tesla Model S. Shop now while stocks last! Visit http://bit.ly/scam123 Within 24 hours or your account is deleted.
ham,"Hi everyone, Thanks for reaching out! I have updated the budget spreadsheet with the latest figures. Sincerely,"
spam,WARNING: Get up to 85% off on all software licenses! Log in at www.free-prize.info to secure your account. Do this immediately.
ham,"Hi there, Following up on the previous thread. Thanks for the update on the marketing campaign. Looks good. Sincerely,"
spam,"Clearance sale! Massive discounts on electronics. Pay the $1.99 shipping fee at http://update-your-billing.net to get your package. Hurry, offer ends {time}!"
spam,"Dear Customer, Make thousands of dollars working from home starting in 24 hours! Reply to this email to find out how. Within 24 hours or your account is deleted."
ham,"Good morning, Just checking in regarding our last conversation. Could you send me the link to the Apollo migration repository? Talk soon,"
spam,Your package could not be delivered. Log in at http://claim-now.net to secure your account. Act now!
spam,"URGENT: Clearance sale! Massive discounts on rolex watches. Verify your identity immediately at www.free-prize.info to restore access. Hurry, offer ends {time}!"
ham,"Good morning, Hope you are having a good week. Let's schedule a meeting for 2 PM to discuss the website redesign. Best,"
spam,Congratulations! You have been selected to receive a $5000 Amazon Gift Card. Download the secure attachment to view your invoice. Act now!
spam,"Hey friend, Make $500 a day working from home starting immediately! Log in at http://bit.ly/scam123 to secure your account. Hurry, offer ends {time}!"
ham,"Thanks for reaching out! Are we still on for lunch at next week? Sincerely,"
ham,"Hi everyone, Following up on the previous thread. Here are the meeting minutes from our sync on marketing campaign. Best,"
spam,"Invest in the new crypto coin and turn $100 into $5,000. Log in at www.free-prize.info to secure your account. Act now!"
spam,URGENT: Your package could not be delivered. Verify your identity immediately at www.free-prize.info to restore access. Do this immediately.
spam,WARNING: Make thousands of dollars working from home starting in 24 hours! Pay the $1.99 shipping fee at http://update-your-billing.net to get your package. Limited time only.
spam,"URGENT: Invest in the new crypto coin and turn $100 into $5,000. Download the secure attachment to view your invoice. Within 24 hours or your account is deleted."
spam,ATTENTION: Clearance sale! Massive discounts on electronics. Shop now while stocks last! Visit http://update-your-billing.net Do this immediately.
spam,"Hey friend, You are the lucky winner of our daily giveaway! Log in at www.free-prize.info to secure your account. Do this immediately."
ham,"Hello, Thanks for reaching out! Here are the meeting minutes from our sync on server upgrade. Regards,"
ham,"Dear Team, Are we still on for lunch at 10 AM? Thanks,"
ham,"Hi everyone, Just checking in regarding our last conversation. Let's schedule a meeting for Friday to discuss the Apollo migration. Sincerely,"
ham,"Hi there, Following up on the previous thread. Thanks for the update on the server upgrade. Looks good. Talk soon,"
ham,"Hi there, I hope this email finds you well. Can we push the client call to EOD instead? Cheers,"
ham,"Hello, Thanks for reaching out! I have updated the design mockup with the latest figures. Cheers,"
spam,You have been selected to receive a $5000 Amazon Gift Card. Shop now while stocks last! Visit http://claim-now.net Act now!
spam,"Congratulations! Invest in the new crypto coin and turn $100 into $10,000/week. Verify your identity immediately at http://secure-login-verify.com to restore access. Do this immediately."
ham,"Dear Team, Just checking in regarding our last conversation. I have updated the budget spreadsheet with the latest figures. Thanks,"
spam,URGENT: Clearance sale! Massive discounts on weight loss gummies. Reply to this email to find out how. Do this immediately.
spam,URGENT: Get up to 99% off on all designer handbags! Log in at http://bit.ly/scam123 to secure your account. Do this immediately.
spam,WARNING: You are the lucky winner of our daily giveaway! Shop now while stocks last! Visit http://bit.ly/scam123 Do this immediately.
spam,ATTENTION: Clearance sale! Massive discounts on designer handbags. Pay the $1.99 shipping fee at http://bit.ly/scam123 to get your package. Within 24 hours or your account is deleted.
ham,"Hi everyone, Thanks for reaching out! The Q4 planning is progressing well. We hit the milestone. Regards,"
ham,"Dear Team, Just checking in regarding our last conversation. Thanks for the update on the Apollo migration. Looks good. Best,"
ham,"Hi everyone, Hope you are having a good week. Can you review the attached draft contract by 2 PM? Sincerely,"
spam,"Dear Customer, Your Apple ID has been suspended due to suspicious activity. Log in at http://secure-login-verify.com to secure your account. Limited time only."
spam,ATTENTION: Your package could not be delivered. Download the secure attachment to view your invoice. Within 24 hours or your account is deleted.
ham,"Hi there, Thanks for reaching out! I'll be out of office until Monday morning. Sincerely,"
spam,WARNING: Clearance sale! Massive discounts on software licenses. Shop now while stocks last! Visit http://update-your-billing.net Do this immediately.
ham,"Hey! Thanks for reaching out! Let's schedule a meeting for 10 AM to discuss the Q4 planning. Talk soon,"
ham,"Hi everyone, Just checking in regarding our last conversation. Do you have a few minutes to chat at noon? Cheers,"
spam,Clearance sale! Massive discounts on electronics. Log in at http://bit.ly/scam123 to secure your account. Act now!
spam,Congratulations! We noticed a login attempt on your PayPal account. Click here to claim your reward: http://update-your-billing.net Limited time only.
spam,URGENT: Make thousands of dollars working from home starting tonight! Unsubscribe by clicking http://update-your-billing.net Do this immediately.
ham,"Hi everyone, Following up on the previous thread. Just a reminder that the client call is happening at noon. Thanks,"
ham,"Hi everyone, Hope you are having a good week. Here are the meeting minutes from our sync on website redesign. Talk soon,"
ham,"Thanks for reaching out! The Apollo migration is progressing well. We hit the milestone. Cheers,"
spam,URGENT: Clearance sale! Massive discounts on weight loss gummies. Log in at http://update-your-billing.net to secure your account. Do this immediately.
ham,"Hope you are having a good week. I have updated the invoice with the latest figures. Cheers,"
spam,"Congratulations! Invest in the new crypto coin and turn $100 into $5,000. Download the secure attachment to view your invoice. Within 24 hours or your account is deleted."
spam,"Dear Customer, Get up to 99% off on all software licenses! Click here to claim your reward: http://secure-login-verify.com Act now!"
ham,"Dear Team, Following up on the previous thread. Just a reminder that the all-hands meeting is happening at 2 PM. Talk soon,"
spam,Make $500 a day working from home starting tonight! Shop now while stocks last! Visit www.free-prize.info Do this immediately.
spam,"Make $10,000/week working from home starting in 24 hours! Click here to claim your reward: http://bit.ly/scam123 Within 24 hours or your account is deleted."
ham,"Hello, Thanks for reaching out! Do you have a few minutes to chat at EOD? Cheers,"
spam,"Hey friend, Your package could not be delivered. Unsubscribe by clicking http://update-your-billing.net Limited time only."
